YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,4226,-165.3,58,60,7
1994,4233,-164.6,58,14,1
1994,4233,-164.6,58,17,1
1994,4233,-164.6,58,20,1
1994,4233,-164.6,58,47,5
1994,4239,-164,58,13,1
1994,4239,-164,58,27,2
1994,4239,-164,58,28,2
1994,4239,-164,58,30,2
1994,4246,-163.3,58,18,1
1994,4246,-163.3,58,24,2
1994,4246,-163.3,58,33,3
1994,4246,-163.3,58,34,2
1994,4252,-162.7,58,16,1
1994,4252,-162.7,58,20,2
1994,4252,-162.7,58,34,3
1994,4252,-162.7,58,62,5
1994,4258,-162.1,58,12,1
1994,4258,-162.1,58,14,1
1994,4258,-162.1,58,16,1
1994,4258,-162.1,58,19,1
1994,4264,-161.5,58,13,1
1994,4264,-161.5,58,16,1
1994,4264,-161.5,58,18,1
1994,4264,-161.5,58,19,1
1994,4271,-160.8,58,20,1
1994,4271,-160.8,58,22,1
1994,4271,-160.8,58,23,1
1994,4271,-160.8,58,59,5
1994,4277,-160.2,58,9,1
1994,4277,-160.2,58,15,1
1994,4277,-160.2,58,41,4
1994,4277,-160.2,58,53,5
1994,4289,-159,58,15,1
1994,4289,-159,58,18,1
1994,4289,-159,58,43,5
1994,4289,-159,58,60,6
1994,4296,-158.3,58,14,1
1994,4296,-158.3,58,17,1
1994,4296,-158.3,58,19,1
1994,4296,-158.3,58,35,3
1994,4637,-161.5,58.2,12,1
1994,4637,-161.5,58.2,12,1
1994,4637,-161.5,58.2,16,1
1994,4637,-161.5,58.2,23,1
1994,4701,-174.3,58.3,22,1
1994,4701,-174.3,58.3,30,1
1994,4701,-174.3,58.3,30,1
1994,4701,-174.3,58.3,41,3
1994,4708,-173.6,58.3,15,1
1994,4708,-173.6,58.3,19,1
1994,4708,-173.6,58.3,103,10
1994,4708,-173.6,58.3,103,10
1994,4714,-173,58.3,19,1
1994,4714,-173,58.3,24,1
1994,4714,-173,58.3,37,2
1994,4714,-173,58.3,39,3
1994,4721,-172.3,58.3,18,1
1994,4721,-172.3,58.3,20,1
1994,4721,-172.3,58.3,20,1
1994,4721,-172.3,58.3,21,1
1994,4728,-171.6,58.3,16,1
1994,4728,-171.6,58.3,22,1
1994,4728,-171.6,58.3,24,1
1994,4728,-171.6,58.3,50,3
1994,4734,-171,58.3,18,1
1994,4734,-171,58.3,20,1
1994,4734,-171,58.3,20,1
1994,4734,-171,58.3,37,2
1994,4747,-169.7,58.3,22,1
1994,4747,-169.7,58.3,26,2
1994,4747,-169.7,58.3,30,2
1994,4747,-169.7,58.3,35,2
1994,4753,-169.1,58.3,18,1
1994,4753,-169.1,58.3,18,1
1994,4753,-169.1,58.3,22,1
1994,4753,-169.1,58.3,60,6
1994,4759,-168.5,58.3,12,1
1994,4759,-168.5,58.3,17,2
1994,4759,-168.5,58.3,42,3
1994,4759,-168.5,58.3,44,3
1994,4766,-167.8,58.3,26,2
1994,4766,-167.8,58.3,36,3
1994,4766,-167.8,58.3,46,3
1994,4766,-167.8,58.3,56,4
1994,4772,-167.2,58.3,15,1
1994,4772,-167.2,58.3,19,1
1994,4772,-167.2,58.3,20,1
1994,4772,-167.2,58.3,71,6
1994,4778,-166.6,58.3,20,1
1994,4778,-166.6,58.3,21,1
1994,4778,-166.6,58.3,29,1
1994,4778,-166.6,58.3,43,3
1994,4785,-165.9,58.3,16,1
1994,4785,-165.9,58.3,24,1
1994,4785,-165.9,58.3,24,1
1994,4785,-165.9,58.3,45,4
1994,4791,-165.3,58.3,18,1
1994,4791,-165.3,58.3,62,7
1994,4791,-165.3,58.3,62,7
1994,4791,-165.3,58.3,67,5
1994,4798,-164.6,58.3,14,1
1994,4798,-164.6,58.3,15,1
1994,4798,-164.6,58.3,15,1
1994,4798,-164.6,58.3,31,2
1994,4804,-164,58.3,44,4
1994,4804,-164,58.3,47,4
1994,4804,-164,58.3,50,5
1994,4804,-164,58.3,55,6
1994,4810,-163.4,58.3,14,1
1994,4810,-163.4,58.3,27,2
1994,4810,-163.4,58.3,31,3
1994,4810,-163.4,58.3,44,3
1994,4817,-162.7,58.3,8,1
1994,4817,-162.7,58.3,37,3
1994,4817,-162.7,58.3,42,4
1994,4817,-162.7,58.3,42,4
1994,4823,-162.1,58.3,14,1
1994,4823,-162.1,58.3,16,1
1994,4823,-162.1,58.3,16,1
1994,4823,-162.1,58.3,19,1
1994,4836,-160.8,58.3,17,1
1994,4836,-160.8,58.3,20,1
1994,4836,-160.8,58.3,27,3
1994,4836,-160.8,58.3,39,3
1994,4844,-160,58.3,19,1
1994,4844,-160,58.3,23,1
1994,4844,-160,58.3,28,2
1994,4844,-160,58.3,33,3
1994,4848,-159.6,58.3,15,1
1994,4848,-159.6,58.3,18,1
1994,4848,-159.6,58.3,21,1
1994,4848,-159.6,58.3,41,3
1994,4934,-170.4,58.4,25,1
1994,4934,-170.4,58.4,27,2
1994,4934,-170.4,58.4,28,1
1994,4934,-170.4,58.4,55,4
1994,5310,-171.1,58.6,16,1
1994,5310,-171.1,58.6,18,1
1994,5310,-171.1,58.6,25,2
1994,5310,-171.1,58.6,52,3
1994,5330,-169.1,58.6,14,1
1994,5330,-169.1,58.6,17,1
1994,5330,-169.1,58.6,21,1
1994,5330,-169.1,58.6,62,6
1994,5362,-165.9,58.6,12,1
1994,5362,-165.9,58.6,18,1
1994,5362,-165.9,58.6,43,4
